Response,Joint_cooperation_score,Food_sharing,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,-1.301475674,-0.223848431,-0.311082799,F_M,3.737669618,Ind21,Ind31,Ind21_Ind31
0,-1.329546175,-0.223848431,-0.311082799,F_M,3.610917913,Ind21,Ind25,Ind21_Ind25
0,1.73461942,-0.223848431,-0.311082799,F_M,4.248495242,Ind13,Ind21,Ind13_Ind21
6,0.057188083,2.926557762,-0.311082799,F_F,5.093750201,Ind29,Ind21,Ind21_Ind29
6,1.531687725,5.889439777,-0.311082799,F_F,4.430816799,Ind11,Ind21,Ind11_Ind21
0,0.080932122,-0.223848431,-0.311082799,F_F,4.744932128,Ind21,Ind5,Ind5_Ind21
1,0.226735791,-0.223848431,-0.311082799,F_M,6.311734809,Ind3,Ind4,Ind3_Ind4
0,-0.032285402,1.327560056,-0.311082799,F_F,5.802118375,Ind3,Ind1,Ind1_Ind3
0,-0.597558336,-0.223848431,-0.311082799,F_F,5.877735782,Ind18,Ind3,Ind3_Ind18
1,0.414112823,-0.223848431,-0.311082799,F_F,5.459585514,Ind3,Ind10,Ind3_Ind10
0,-0.720656497,-0.223848431,-0.311082799,F_M,5.480638923,Ind9,Ind3,Ind3_Ind9
0,-0.18669891,-0.223848431,-0.311082799,F_F,5.828945618,Ind3,Ind17,Ind3_Ind17
0,-0.539408619,-0.223848431,-0.311082799,F_M,6.086774727,Ind16,Ind3,Ind3_Ind16
2,-0.64726115,-0.223848431,0.378881043,F_F,6.918695219,Ind3,Ind28,Ind3_Ind28
1,-1.210679886,0.288131837,1.079851288,F_F,6.910750788,Ind6,Ind3,Ind3_Ind6
1,-0.427384142,2.112971634,1.276069521,F_F,6.778784898,Ind20,Ind3,Ind3_Ind20
4,-0.961187212,-0.223848431,3.463557053,F_F,6.828712072,Ind3,Ind24,Ind3_Ind24
0,-1.062138005,-0.223848431,2.050836314,F_F,6.786716951,Ind3,Ind8,Ind3_Ind8
0,-1.16432493,-0.223848431,-0.311082799,F_M,6.047372179,Ind3,Ind31,Ind3_Ind31
7,0.194338827,-0.223848431,0.293382924,F_F,7.050989447,Ind29,Ind3,Ind3_Ind29
2,1.668838468,0.244261149,0.960664593,F_F,7.00033446,Ind11,Ind3,Ind3_Ind11
0,0.218082866,-0.223848431,1.192265142,F_F,6.833031733,Ind3,Ind5,Ind3_Ind5
0,1.04543425,-0.223848431,-0.311082799,F_M,5.834810737,Ind23,Ind4,Ind4_Ind23
0,0.786413058,-0.223848431,-0.311082799,F_F,5.293304825,Ind1,Ind23,Ind1_Ind23
0,0.221140124,-0.223848431,-0.311082799,F_F,5.220355825,Ind23,Ind18,Ind18_Ind23
0,1.232811283,-0.223848431,-0.311082799,F_F,4.804021045,Ind23,Ind10,Ind10_Ind23
0,0.098041963,-0.223848431,-0.311082799,F_M,4.787491743,Ind23,Ind9,Ind9_Ind23
0,0.631999549,-0.223848431,-0.311082799,F_F,5.18178355,Ind17,Ind23,Ind17_Ind23
0,0.27928984,-0.223848431,-0.311082799,F_M,5.66296048,Ind16,Ind23,Ind16_Ind23
1,0.17143731,-0.223848431,-0.311082799,F_F,6.317164687,Ind23,Ind28,Ind23_Ind28
4,-0.391981426,-0.223848431,-0.311082799,F_F,6.154858094,Ind23,Ind6,Ind6_Ind23
4,0.391314317,-0.223848431,-0.311082799,F_F,6.09356977,Ind23,Ind20,Ind20_Ind23
0,-0.142488753,-0.223848431,-0.311082799,F_F,6.263398263,Ind24,Ind23,Ind23_Ind24
4,-0.243439545,-0.223848431,1.157450769,F_F,6.163314804,Ind8,Ind23,Ind8_Ind23
0,-0.34562647,-0.223848431,-0.311082799,F_M,4.624972813,Ind23,Ind31,Ind23_Ind31
11,1.013037287,-0.223848431,-0.311082799,F_F,6.43775165,Ind23,Ind29,Ind23_Ind29
5,2.487536928,-0.223848431,-0.311082799,F_F,6.413458957,Ind11,Ind23,Ind11_Ind23
0,1.036781325,-0.223848431,-0.311082799,F_F,6.148468296,Ind23,Ind5,Ind5_Ind23
0,-0.221413816,-0.223848431,-0.311082799,F_M,5.857933154,Ind4,Ind2,Ind2_Ind4
1,-0.480435008,-0.223848431,-0.311082799,F_F,5.252273428,Ind1,Ind2,Ind1_Ind2
0,-1.045707942,-0.223848431,-0.311082799,F_F,5.293304825,Ind18,Ind2,Ind2_Ind18
0,-0.034036783,-0.223848431,-0.311082799,F_F,4.795790546,Ind2,Ind10,Ind2_Ind10
0,-1.168806103,-0.223848431,-0.311082799,F_M,4.820281566,Ind9,Ind2,Ind2_Ind9
2,-0.634848517,-0.223848431,-0.311082799,F_F,5.288267031,Ind17,Ind2,Ind2_Ind17
0,-0.987558225,-0.223848431,-0.311082799,F_M,5.66296048,Ind2,Ind16,Ind2_Ind16
2,-1.095410756,-0.223848431,0.661795087,F_F,6.575075841,Ind28,Ind2,Ind2_Ind28
0,-1.658829492,-0.223848431,0.713224755,F_F,6.523562306,Ind2,Ind6,Ind2_Ind6
0,-0.875533749,-0.223848431,2.049504154,F_F,6.381816017,Ind20,Ind2,Ind2_Ind20
0,-1.409336819,-0.223848431,1.79315082,F_F,6.49677499,Ind2,Ind24,Ind2_Ind24
