Response,Joint_cooperation_score,Grooming,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,-0.736846955,-0.51459561,-0.311082799,M_M,4.219507705,Ind9,Ind19,Ind9_Ind19
0,-0.290063137,1.12644612,-0.311082799,F_M,4.65396035,Ind19,Ind17,Ind17_Ind19
0,-0.290063137,0.57943221,-0.311082799,M_M,4.110873864,Ind19,Ind22,Ind19_Ind22
0,-0.625151,-0.51459561,-0.311082799,M_M,4.691347882,Ind16,Ind19,Ind16_Ind19
0,1.832159995,1.12644612,-0.311082799,F_M,5.438079309,Ind19,Ind28,Ind19_Ind28
0,-0.736846955,0.0324183,-0.311082799,F_M,4.043051268,Ind15,Ind19,Ind15_Ind19
0,0.380112589,2.767487851,-0.311082799,F_M,5.780743516,Ind19,Ind6,Ind6_Ind19
0,0.603504497,2.767487851,-0.311082799,F_M,4.983606622,Ind19,Ind20,Ind19_Ind20
0,-0.290063137,1.12644612,-0.311082799,F_M,5.407171771,Ind24,Ind19,Ind19_Ind24
0,0.15672068,2.767487851,-0.311082799,F_M,5.236441963,Ind19,Ind8,Ind8_Ind19
0,-0.513455046,-0.51459561,-0.311082799,M_M,4.624972813,Ind31,Ind19,Ind19_Ind31
0,-0.736846955,-0.51459561,-0.311082799,M_M,4.828313737,Ind19,Ind25,Ind19_Ind25
0,-0.736846955,-0.51459561,-0.311082799,M_M,4.820281566,Ind19,Ind13,Ind13_Ind19
0,1.385376178,3.314501761,-0.311082799,F_M,5.521460918,Ind19,Ind29,Ind19_Ind29
1,0.491808543,7.690613043,-0.311082799,F_M,5.411646052,Ind11,Ind19,Ind11_Ind19
0,2.72572763,0.0324183,-0.311082799,F_M,5.236441963,Ind19,Ind5,Ind5_Ind19
0,-1.400442144,-0.51459561,-0.311082799,M_M,4.025351691,Ind4,Ind12,Ind4_Ind12
0,-0.953658326,-0.51459561,-0.311082799,F_M,3.761200116,Ind12,Ind1,Ind1_Ind12
0,-1.065354281,-0.51459561,-0.311082799,F_M,4.110873864,Ind18,Ind12,Ind12_Ind18
0,-0.506874509,1.12644612,-0.311082799,F_M,3.761200116,Ind12,Ind10,Ind10_Ind12
0,-1.512138098,-0.51459561,-0.311082799,M_M,3.433987204,Ind9,Ind12,Ind9_Ind12
0,-1.065354281,-0.51459561,-0.311082799,F_M,4.143134726,Ind12,Ind17,Ind12_Ind17
0,-1.065354281,-0.51459561,-0.311082799,M_M,3.688879454,Ind12,Ind22,Ind12_Ind22
0,-1.400442144,-0.51459561,-0.311082799,M_M,4.077537444,Ind12,Ind16,Ind12_Ind16
0,1.056868852,-0.51459561,-0.311082799,F_M,5.062595033,Ind28,Ind12,Ind12_Ind28
0,-1.512138098,-0.51459561,-0.311082799,F_M,3.761200116,Ind15,Ind12,Ind12_Ind15
0,-0.395178555,-0.51459561,-0.311082799,F_M,5.342334252,Ind12,Ind6,Ind6_Ind12
0,-0.171786646,-0.51459561,-0.311082799,F_M,4.574710979,Ind12,Ind20,Ind12_Ind20
0,-1.065354281,-0.51459561,-0.311082799,F_M,4.96284463,Ind12,Ind24,Ind12_Ind24
0,-0.618570463,0.57943221,-0.311082799,F_M,4.727387819,Ind8,Ind12,Ind8_Ind12
0,-1.288746189,0.0324183,-0.311082799,M_M,4.276666119,Ind31,Ind12,Ind12_Ind31
0,-1.512138098,-0.51459561,-0.311082799,M_M,4.430816799,Ind25,Ind12,Ind12_Ind25
0,-1.512138098,-0.51459561,-0.311082799,M_M,4.477336814,Ind12,Ind13,Ind12_Ind13
0,0.610085034,-0.51459561,-0.311082799,F_M,5.135798437,Ind12,Ind29,Ind12_Ind29
0,-0.2834826,-0.51459561,-0.311082799,F_M,4.976733742,Ind12,Ind11,Ind11_Ind12
0,1.950436486,-0.51459561,-0.311082799,F_M,4.812184355,Ind12,Ind5,Ind5_Ind12
0,-0.766113026,-0.51459561,-0.311082799,F_M,3.663561646,Ind4,Ind26,Ind4_Ind26
0,-0.319329209,-0.51459561,-0.311082799,F_F,2.944438979,Ind1,Ind26,Ind1_Ind26
0,-0.431025163,0.0324183,-0.311082799,F_F,3.713572067,Ind26,Ind18,Ind18_Ind26
0,0.127454608,-0.51459561,-0.311082799,F_F,3.33220451,Ind10,Ind26,Ind10_Ind26
0,-0.877808981,-0.51459561,-0.311082799,F_M,3.36729583,Ind26,Ind9,Ind9_Ind26
0,-0.431025163,-0.51459561,-0.311082799,F_F,3.713572067,Ind17,Ind26,Ind17_Ind26
0,-0.431025163,0.57943221,-0.311082799,F_M,3.465735903,Ind26,Ind22,Ind22_Ind26
0,-0.766113026,0.0324183,-0.311082799,F_M,3.871201011,Ind16,Ind26,Ind16_Ind26
0,1.691197969,-0.51459561,-0.311082799,F_F,4.48863637,Ind28,Ind26,Ind26_Ind28
0,-0.877808981,-0.51459561,-0.311082799,F_F,3.17805383,Ind15,Ind26,Ind15_Ind26
0,0.239150563,-0.51459561,-0.311082799,F_F,5.147494477,Ind26,Ind6,Ind6_Ind26
0,0.462542471,-0.51459561,-0.311082799,F_F,4.343805422,Ind20,Ind26,Ind20_Ind26
0,-0.431025163,-0.51459561,-0.311082799,F_F,4.584967479,Ind26,Ind24,Ind24_Ind26
0,0.015758654,0.0324183,-0.311082799,F_F,4.48863637,Ind26,Ind8,Ind8_Ind26
0,-0.654417072,-0.51459561,-0.311082799,F_M,3.891820298,Ind31,Ind26,Ind26_Ind31
0,-0.877808981,-0.51459561,-0.311082799,F_M,3.951243719,Ind26,Ind25,Ind25_Ind26
0,-0.877808981,0.57943221,-0.311082799,F_M,4.219507705,Ind26,Ind13,Ind13_Ind26
0,1.244414152,0.0324183,-0.311082799,F_F,4.691347882,Ind29,Ind26,Ind26_Ind29
0,0.350846517,0.57943221,-0.311082799,F_F,4.605170186,Ind26,Ind11,Ind11_Ind26
0,2.584765604,-0.51459561,-0.311082799,F_F,4.317488114,Ind5,Ind26,Ind5_Ind26
0,-1.188999105,-0.51459561,-0.311082799,F_M,4.17438727,Ind7,Ind4,Ind4_Ind7
0,-0.742215287,-0.51459561,-0.311082799,F_F,3.828641396,Ind7,Ind1,Ind1_Ind7
0,-0.853911242,-0.51459561,-0.311082799,F_F,4.248495242,Ind18,Ind7,Ind7_Ind18
0,-0.29543147,-0.51459561,-0.311082799,F_F,3.850147602,Ind7,Ind10,Ind7_Ind10
0,-1.300695059,-0.51459561,-0.311082799,F_M,3.610917913,Ind7,Ind9,Ind7_Ind9
0,-0.853911242,-0.51459561,-0.311082799,F_F,4.158883083,Ind17,Ind7,Ind7_Ind17
1,-0.853911242,-0.51459561,-0.311082799,F_M,3.871201011,Ind7,Ind22,Ind7_Ind22
0,-1.188999105,-0.51459561,-0.311082799,F_M,4.234106505,Ind7,Ind16,Ind7_Ind16
0,1.268311891,1.673460031,-0.311082799,F_F,5.288267031,Ind28,Ind7,Ind7_Ind28
0,-1.300695059,0.0324183,-0.311082799,F_F,4.043051268,Ind15,Ind7,Ind7_Ind15
0,-0.183735516,0.0324183,-0.311082799,F_F,5.686975356,Ind6,Ind7,Ind6_Ind7
0,0.039656393,0.57943221,-0.311082799,F_F,4.844187086,Ind20,Ind7,Ind7_Ind20
0,-0.853911242,0.57943221,-0.311082799,F_F,5.247024072,Ind7,Ind24,Ind7_Ind24
0,-0.407127424,0.0324183,-0.311082799,F_F,4.9698133,Ind7,Ind8,Ind7_Ind8
0,-1.07730315,-0.51459561,-0.311082799,F_M,4.49980967,Ind7,Ind31,Ind7_Ind31
0,-1.300695059,0.0324183,-0.311082799,F_M,4.86753445,Ind7,Ind25,Ind7_Ind25
1,-1.300695059,-0.51459561,-0.311082799,F_M,4.94875989,Ind13,Ind7,Ind7_Ind13
0,0.821528073,0.57943221,-0.311082799,F_F,5.463831805,Ind7,Ind29,Ind7_Ind29
0,-0.072039561,-0.51459561,-0.311082799,F_F,5.252273428,Ind11,Ind7,Ind7_Ind11
0,2.161879525,0.57943221,-0.311082799,F_F,5.303304908,Ind5,Ind7,Ind5_Ind7
0,-1.048037078,0.57943221,-0.311082799,F_M,3.912023005,Ind4,Ind21,Ind4_Ind21
0,-0.601253261,-0.51459561,-0.311082799,F_F,2.995732274,Ind21,Ind1,Ind1_Ind21
0,-0.712949215,-0.51459561,-0.311082799,F_F,3.33220451,Ind21,Ind18,Ind18_Ind21
0,-0.154469444,-0.51459561,-0.311082799,F_F,3.091042453,Ind21,Ind10,Ind10_Ind21
0,-1.159733033,0.0324183,-0.311082799,F_M,3.044522438,Ind9,Ind21,Ind9_Ind21
0,-0.712949215,-0.51459561,-0.311082799,F_F,3.433987204,Ind21,Ind17,Ind17_Ind21
0,-0.712949215,-0.51459561,-0.311082799,F_M,3.091042453,Ind21,Ind22,Ind21_Ind22
0,-1.048037078,0.57943221,-0.311082799,F_M,3.931825633,Ind21,Ind16,Ind16_Ind21
0,1.409273917,0.0324183,-0.311082799,F_F,4.927253685,Ind21,Ind28,Ind21_Ind28
0,-1.159733033,-0.51459561,-0.311082799,F_F,1.098612289,Ind15,Ind21,Ind15_Ind21
0,-0.042773489,-0.51459561,-0.311082799,F_F,5.049856007,Ind21,Ind6,Ind6_Ind21
0,0.180618419,0.0324183,-0.311082799,F_F,4.430816799,Ind20,Ind21,Ind20_Ind21
0,-0.712949215,-0.51459561,-0.311082799,F_F,4.65396035,Ind24,Ind21,Ind21_Ind24
1,-0.266165398,0.57943221,-0.311082799,F_F,4.727387819,Ind8,Ind21,Ind8_Ind21
0,-0.936341124,-0.51459561,-0.311082799,F_M,3.737669618,Ind21,Ind31,Ind21_Ind31
0,-1.159733033,-0.51459561,-0.311082799,F_M,3.610917913,Ind21,Ind25,Ind21_Ind25
0,-1.159733033,-0.51459561,-0.311082799,F_M,4.248495242,Ind13,Ind21,Ind13_Ind21
1,0.962490099,2.767487851,-0.311082799,F_F,5.093750201,Ind29,Ind21,Ind21_Ind29
1,0.068922465,2.767487851,-0.311082799,F_F,4.430816799,Ind11,Ind21,Ind11_Ind21
0,2.302841551,-0.51459561,-0.311082799,F_F,4.744932128,Ind21,Ind5,Ind5_Ind21
0,-0.634081433,-0.197794841,-0.311082799,F_M,6.311734809,Ind3,Ind4,Ind3_Ind4
1,0.736782085,-0.51459561,-0.311082799,F_F,5.802118375,Ind3,Ind1,Ind1_Ind3
0,-0.15024725,-0.51459561,-0.311082799,F_F,5.877735782,Ind18,Ind3,Ind3_Ind18
0,0.172308872,-0.197794841,-0.311082799,F_F,5.459585514,Ind3,Ind10,Ind3_Ind10
0,-0.714720463,-0.51459561,-0.311082799,F_M,5.480638923,Ind9,Ind3,Ind3_Ind9
0,-0.311525311,-0.51459561,-0.311082799,F_F,5.828945618,Ind3,Ind17,Ind3_Ind17
0,-0.714720463,-0.51459561,-0.311082799,F_M,6.086774727,Ind16,Ind3,Ind3_Ind16
0,0.172308872,0.119005929,0.378881043,F_F,6.918695219,Ind3,Ind28,Ind3_Ind28
1,0.172308872,-0.197794841,1.079851288,F_F,6.910750788,Ind6,Ind3,Ind3_Ind6
4,1.946367541,-0.197794841,1.276069521,F_F,6.778784898,Ind20,Ind3,Ind3_Ind20
0,-0.472803372,0.752607468,3.463557053,F_F,6.828712072,Ind3,Ind24,Ind3_Ind24
0,0.736782085,-0.51459561,2.050836314,F_F,6.786716951,Ind3,Ind8,Ind3_Ind8
0,-0.714720463,-0.51459561,-0.311082799,F_M,6.047372179,Ind3,Ind31,Ind3_Ind31
0,0.091669841,1.703009777,0.293382924,F_F,7.050989447,Ind29,Ind3,Ind3_Ind29
1,0.011030811,0.119005929,0.960664593,F_F,7.00033446,Ind11,Ind3,Ind3_Ind11
0,0.172308872,-0.51459561,1.192265142,F_F,6.833031733,Ind3,Ind5,Ind3_Ind5
0,-1.377456646,-0.51459561,-0.311082799,F_M,5.834810737,Ind23,Ind4,Ind4_Ind23
0,-0.006593128,-0.51459561,-0.311082799,F_F,5.293304825,Ind1,Ind23,Ind1_Ind23
0,-0.893622463,-0.51459561,-0.311082799,F_F,5.220355825,Ind23,Ind18,Ind18_Ind23
0,-0.571066341,-0.51459561,-0.311082799,F_F,4.804021045,Ind23,Ind10,Ind10_Ind23
0,-1.458095676,-0.51459561,-0.311082799,F_M,4.787491743,Ind23,Ind9,Ind9_Ind23
0,-1.054900524,-0.51459561,-0.311082799,F_F,5.18178355,Ind17,Ind23,Ind17_Ind23
0,-1.458095676,-0.51459561,-0.311082799,F_M,5.66296048,Ind16,Ind23,Ind16_Ind23
0,-0.571066341,-0.197794841,-0.311082799,F_F,6.317164687,Ind23,Ind28,Ind23_Ind28
0,-0.571066341,0.752607468,-0.311082799,F_F,6.154858094,Ind23,Ind6,Ind6_Ind23
0,1.202992328,0.752607468,-0.311082799,F_F,6.09356977,Ind23,Ind20,Ind20_Ind23
0,-1.216178585,-0.51459561,-0.311082799,F_F,6.263398263,Ind24,Ind23,Ind23_Ind24
0,-0.006593128,0.752607468,1.157450769,F_F,6.163314804,Ind8,Ind23,Ind8_Ind23
0,-1.458095676,-0.51459561,-0.311082799,F_M,4.624972813,Ind23,Ind31,Ind23_Ind31
0,-0.651705372,2.970212856,-0.311082799,F_F,6.43775165,Ind23,Ind29,Ind23_Ind29
0,-0.732344402,1.069408238,-0.311082799,F_F,6.413458957,Ind11,Ind23,Ind11_Ind23
0,-0.571066341,-0.51459561,-0.311082799,F_F,6.148468296,Ind23,Ind5,Ind5_Ind23
0,0.452390032,-0.51459561,-0.311082799,F_M,5.857933154,Ind4,Ind2,Ind2_Ind4
0,1.82325355,-0.197794841,-0.311082799,F_F,5.252273428,Ind1,Ind2,Ind1_Ind2
0,0.936224215,-0.51459561,-0.311082799,F_F,5.293304825,Ind18,Ind2,Ind2_Ind18
0,1.258780337,-0.51459561,-0.311082799,F_F,4.795790546,Ind2,Ind10,Ind2_Ind10
0,0.371751002,-0.51459561,-0.311082799,F_M,4.820281566,Ind9,Ind2,Ind2_Ind9
0,0.774946154,0.119005929,-0.311082799,F_F,5.288267031,Ind17,Ind2,Ind2_Ind17
0,0.371751002,-0.51459561,-0.311082799,F_M,5.66296048,Ind2,Ind16,Ind2_Ind16
0,1.258780337,0.119005929,0.661795087,F_F,6.575075841,Ind28,Ind2,Ind2_Ind28
0,1.258780337,-0.51459561,0.713224755,F_F,6.523562306,Ind2,Ind6,Ind2_Ind6
0,3.032839007,-0.51459561,2.049504154,F_F,6.381816017,Ind20,Ind2,Ind2_Ind20
0,0.613668093,-0.51459561,1.79315082,F_F,6.49677499,Ind2,Ind24,Ind2_Ind24
0,1.82325355,0.119005929,1.961078258,F_F,6.419994928,Ind2,Ind8,Ind2_Ind8
